자치구,인구,세대수,성비,년도,면적,가구수,one,출생건수,사망건수,혼인건수,이혼건수,인력수,차량수,1인세대수,면적대비1인세대,외국인비율,인구밀도,세대당인구,출생률,사망률,혼인률,이혼률,one비율,인구대비one,면적대비one
용산구,228670,110126,0.93,2019,21.87,93177,35148,1314.0,1107.0,1303.0,372.0,181,83,52143.0,2384.224965706447,0.0910822440198217,10455.875628715134,2.0764397145088354,5.746271920234399,4.841037302663227,5.698167665194386,1.6267984431713824,0.3772175536881419,0.15370621419512834,1607.1330589849108
성동구,300889,135838,0.96,2019,16.86,122770,41488,2191.0,1369.0,1758.0,528.0,0,0,55527.0,3293.416370106762,0.0454464542897737,17846.32265717675,2.215057642191434,7.281755065821615,4.549850609360927,5.8426861733064355,1.7547999428360623,0.33793271971980127,0.1378847349022397,2460.73546856465
광진구,351350,164428,0.94,2019,17.06,149905,58714,1957.0,1385.0,1893.0,591.0,96,51,74064.0,4341.383352872216,0.0649177593930872,20594.95896834701,2.1368015179896367,5.569944499786537,3.941938238223993,5.387789953038281,1.682083392628433,0.3916747273273073,0.16710971965276789,3441.617819460727
동대문구,346194,164191,0.99,2019,14.22,148349,58152,1884.0,1851.0,1613.0,692.0,124,91,75705.0,5323.839662447257,0.065133614123623,24345.56962025316,2.1084834126109224,5.442035390561362,5.346713114612038,4.659237306250253,1.9988792411191412,0.3919945533842493,0.16797518154560737,4089.4514767932487
중랑구,397015,181579,0.98,2019,18.5,160776,52196,2244.0,2049.0,2031.0,960.0,172,79,74943.0,4050.972972972973,0.0243393429248005,21460.27027027027,2.186458786533685,5.652179388688085,5.1610140674785585,5.115675730136141,2.4180446582622825,0.3246504453401005,0.1314711031069355,2821.4054054054054
성북구,442650,192592,0.94,2019,24.57,176729,57832,2147.0,2184.0,1880.0,661.0,106,77,74767.0,3041.7819365337677,0.0395299333251235,18015.873015873014,2.298382071944837,4.850333220377274,4.933920704845815,4.247147859482661,1.493279114424489,0.32723548483836834,0.13064949734553258,2353.7647537647536
강북구,313954,144277,0.95,2019,23.6,128012,42791,1227.0,1874.0,1260.0,697.0,0,0,59715.0,2530.2966101694915,0.0237019783125324,13303.135593220339,2.176050236697464,3.9082158532778686,5.9690273097332724,4.013326793097078,2.2200704561814786,0.33427334937349623,0.1362970371455691,1813.177966101695
도봉구,333362,138508,0.96,2019,20.66,126831,32653,1483.0,1836.0,1316.0,702.0,91,46,45013.0,2179.806295399516,0.0149777583119556,16135.624394966118,2.406806827042481,4.448617418901974,5.507526352733665,3.947660501196897,2.1058188995746363,0.2574528309325007,0.09795057625044246,1580.4937076476283
노원구,532905,216966,0.94,2019,35.44,201458,53365,2604.0,2668.0,2138.0,903.0,99,60,69471.0,1960.242663656885,0.0154475221616108,15036.822799097066,2.4561682475595257,4.886424409603963,5.006520862067348,4.0119721151049434,1.6944858839755679,0.2648939232991492,0.10013979977669565,1505.7844243792326
은평구,480032,207681,0.93,2019,29.71,184890,52814,2407.0,2315.0,2178.0,905.0,0,0,76987.0,2591.282396499495,0.0196080454693672,16157.25345001683,2.311391027585576,5.014249050063329,4.822595160322646,4.537197520165322,1.8852909806012934,0.2856509275785602,0.11002183187787481,1777.6506226859642
서대문구,309397,140157,0.92,2019,17.63,128635,46449,1521.0,1555.0,1440.0,473.0,0,0,58962.0,3344.4129325014183,0.0562519533002651,17549.46114577425,2.2075030144766226,4.91601405314208,5.025905228557485,4.654214488181851,1.528780175631955,0.36109146033350176,0.1501275060844158,2634.6568349404424
마포구,374035,175023,0.9,2019,23.85,156885,59248,2334.0,1563.0,2029.0,565.0,183,57,78637.0,3297.148846960168,0.0425367623242858,15682.809224318657,2.137061986138965,6.2400577486064135,4.178753325223575,5.424626037670271,1.5105538251767883,0.37765242056283266,0.1584022885558838,2484.1928721174004
양천구,458165,177256,0.97,2019,17.41,162867,36345,2222.0,1900.0,1705.0,727.0,0,0,50670.0,2910.396323951752,0.0197670268340958,26316.19758759334,2.584764408539062,4.849781192365196,4.146977617233966,3.721366756517848,1.586764593541628,0.22315754572749544,0.07932731657808868,2087.59333716255
강서구,591796,262708,0.94,2019,41.44,240135,79371,3841.0,2691.0,3589.0,1103.0,151,63,103796.0,2504.125452352232,0.0220584916919199,14280.791505791507,2.2526759748465977,6.490412236649115,4.547175040047583,6.064589824872084,1.8638179372621646,0.3305265787994253,0.1341188517664871,1915.3233590733591
구로구,406664,176568,0.98,2019,20.12,160378,47740,2460.0,1811.0,2063.0,733.0,140,42,66167.0,3288.618290258449,0.1250355622014197,20211.928429423457,2.3031579901227857,6.049219994885212,4.453307890543544,5.072984085141542,1.8024708358743338,0.29767175048946865,0.11739421242106506,2372.763419483101
금천구,232810,110622,1.03,2019,13.02,99315,37778,1154.0,1199.0,1243.0,540.0,84,39,50136.0,3850.691244239632,0.1304542927487888,17880.95238095238,2.10455424779881,4.956831751213436,5.150122417421932,5.3391177354924615,2.319487994501954,0.3803856416452701,0.16226966195610154,2901.536098310292
영등포구,367678,174806,0.98,2019,24.55,153923,58214,2633.0,1708.0,2449.0,684.0,144,80,81133.0,3304.806517311609,0.138468674716823,14976.700610997963,2.1033488553024497,7.161157317000201,4.64536904574111,6.660719433852447,1.8603234351796953,0.3782020880570155,0.15832875505197483,2371.2423625254582
