행정동,임대거래수,다가구주택_실거래비율
화양동,0.11930559,0.25198928
군자동,0.08899072,0.40440217
중곡1동,0.29397133,0.30832466
중곡2동,0.29397133,0.30832466
중곡3동,0.29397133,0.30832466
중곡4동,0.29397133,0.30832466
능동,0.072175436,0.47094935
광장동,0.07359645,0.036625102
자양1동,0.31374705,0.16990852
자양2동,0.31374705,0.16990852
자양3동,0.31374705,0.16990852
자양4동,0.31374705,0.16990852
구의1동,0.27555743,0.13428025
구의2동,0.27555743,0.13428025
구의3동,0.27555743,0.13428025
