년도,자치구,점포수,연도별_평균_상권_매출금액,연도별_주중_평균_상권_매출금액,연도별_주말_평균_상권_매출금액,연도별_월요일_평균_상권_매출금액,연도별_화요일_평균_상권_매출금액,연도별_수요일_평균_상권_매출금액,연도별_목요일_평균_상권_매출금액,연도별_금요일_평균_상권_매출금액,연도별_토요일_평균_상권_매출금액,연도별_일요일_평균_상권_매출금액,연도별_00_06_시간대_평균_상권_매출금액,연도별_06_11_시간대_평균_상권_매출금액,연도별_11_14_시간대_평균_상권_매출금액,연도별_14_17_시간대_평균_상권_매출금액,연도별_17_21_시간대_평균_상권_매출금액,연도별_21_24_시간대_평균_상권_매출금액,연도별_남성_평균_상권_매출금액,연도별_여성_평균_상권_매출금액,연도별_10대_평균_상권_매출금액,연도별_20대_평균_상권_매출금액,연도별_30대_평균_상권_매출금액,연도별_40대_평균_상권_매출금액,연도별_50대_평균_상권_매출금액,연도별_60대이상_평균_상권_매출금액
2017,강남구,184201,2235093810.4100003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2111349825.282012,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,강동구,79830,779370509.3642508,779134537.198744,0.0,0.0,0.0,654143323.4039687,649748100.7408262,654373625.2056705,0.0,377837261.2182116,0.0,0.0,676719680.4391996,0.0,664392570.8495586,0.0,681520262.0990793,689128169.3726344,0.0,314915117.6619615,507999486.1011076,693327970.2002679,0.0,0.0
2017,강북구,49498,465988929.9606227,461013574.0730291,347271995.92697436,389639812.4761578,397473747.5712817,0.0,395571994.89871705,0.0,334829201.24275225,235719691.83634856,0.0,0.0,389450509.43270254,397055525.73142076,0.0,276673852.0641821,393740402.34092164,431258338.51587814,0.0,0.0,314712784.30254716,413744807.4453021,421705085.05890685,365819199.95106816
2017,강서구,74313,750896874.4994158,750394525.2650112,569928814.8352734,634829352.5183061,0.0,648490785.7011642,628598781.7595004,628886476.4561613,552747672.2675939,0.0,0.0,0.0,0.0,662154706.917027,0.0,0.0,654618882.4045037,686335868.8067765,0.0,0.0,0.0,657855128.4457626,654272684.03061,0.0
2017,관악구,71822,587683887.8202895,583766718.2404575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535869322.2219186,537520906.8287579,0.0,292973376.89640385,0.0,505382079.05360174,0.0,0.0
2017,광진구,70294,644737754.5241523,647732359.0951498,484570330.401928,571426794.6822484,562907181.2442013,548464111.4780492,0.0,0.0,470917575.77159,361547415.1570338,0.0,0.0,557036658.786275,577019880.2884554,554774063.2300911,0.0,618157774.0183218,563334363.9620869,0.0,310881660.1922118,463866174.24260736,569679491.3973694,571665438.0522932,0.0
2017,구로구,67003,664884230.9437709,664419925.2092074,427177668.8119927,0.0,0.0,0.0,0.0,560589450.3368794,410083973.5408421,0.0,0.0,0.0,0.0,581079759.477279,569828777.1567268,0.0,592778300.2654386,579226604.3178886,0.0,0.0,447486756.98337376,536678382.46425307,560891470.8873839,0.0
2017,금천구,52642,477777522.50273657,475424797.4644086,329214167.29038084,401094999.1057916,0.0,405150425.153509,400481494.6445221,406012981.5967061,314352253.85222805,231905575.3449877,0.0,0.0,0.0,402491793.59272176,0.0,0.0,426063822.8912708,405206673.48445743,0.0,214091544.37082604,340794454.02591217,393921794.5527408,405044176.20755744,0.0
2017,노원구,54062,425350153.78628147,423057202.30560744,0.0,0.0,395216900.4466824,384324259.2623153,365237928.8995853,382501701.369745,0.0,0.0,0.0,0.0,383226043.21355206,375241196.38595134,383360157.8658942,296959176.8106978,398531228.6990726,400565931.85281366,0.0,226856239.98324317,340661833.84805924,383827307.50099397,402028510.8789339,0.0
2017,도봉구,41884,417350046.3330994,416100432.04963493,301803478.2649253,354410633.24245584,347907187.44883156,359862434.4844305,354467710.583658,367123366.3942225,295231532.9288727,197122390.65344846,0.0,0.0,352871076.4749361,362431876.09461987,0.0,259783039.61028644,374007657.2885903,368890044.8965602,0.0,184988212.2082685,294042002.5141937,372660656.3930647,358311237.04079705,314976118.1587132
